
 eiger (gplogin1.local) : TURBOMOLE V7.2 ( 21285 ) 30 Jun 2017 at 11:51:10
 Copyright (C) 2017 TURBOMOLE GmbH, Karlsruhe


    2018-01-22 10:40:02.054 

                                                                                
  
 HOMO-LUMO Separation
   HOMO:   420.   420 a     -0.18505027 H =     -5.03548 eV
   LUMO:   421.   421 a     -0.14010114 H =     -3.81235 eV
   Gap :                    +0.04494914 H =     +1.22313 eV
 
Number of MOs=   3970, Electrons=    840.00, Symmetry: c1   
 
   Nr.   Orbital    Occupation       Energy
 3504.  3504 a                     +4.706799 H =      +128.079 eV
 3503.  3503 a                     +4.705375 H =      +128.040 eV
 3502.  3502 a                     +4.703432 H =      +127.987 eV
 3501.  3501 a                     +4.702131 H =      +127.952 eV
 3500.  3500 a                     +4.701254 H =      +127.928 eV
 3499.  3499 a                     +4.700049 H =      +127.895 eV
 3498.  3498 a                     +4.696570 H =      +127.800 eV
 3497.  3497 a                     +4.691596 H =      +127.665 eV
 3496.  3496 a                     +4.691570 H =      +127.664 eV
 3495.  3495 a                     +4.675428 H =      +127.225 eV
 3494.  3494 a                     +4.668276 H =      +127.030 eV
 3493.  3493 a                     +4.663604 H =      +126.903 eV
 3492.  3492 a                     +4.643929 H =      +126.368 eV
 3491.  3491 a                     +4.639125 H =      +126.237 eV
