
 eiger (gplogin1.local) : TURBOMOLE V7.2 ( 21285 ) 30 Jun 2017 at 11:51:10
 Copyright (C) 2017 TURBOMOLE GmbH, Karlsruhe


    2018-01-22 10:38:37.641 

                                                                                
  
 HOMO-LUMO Separation
   HOMO:   415.   415 a     -0.19251350 H =     -5.23856 eV
   LUMO:   416.   416 a     -0.12911887 H =     -3.51351 eV
   Gap :                    +0.06339462 H =     +1.72506 eV
 
Number of MOs=   4716, Electrons=    830.00, Symmetry: c1   
 
   Nr.   Orbital    Occupation       Energy
 4686.  4686 a                    +13.481293 H =      +366.845 eV
 4685.  4685 a                    +13.421115 H =      +365.207 eV
 4684.  4684 a                    +13.412222 H =      +364.965 eV
 4683.  4683 a                    +13.392618 H =      +364.432 eV
 4682.  4682 a                    +13.380552 H =      +364.104 eV
 4681.  4681 a                    +13.374198 H =      +363.931 eV
 4680.  4680 a                    +13.368157 H =      +363.766 eV
 4679.  4679 a                    +13.338463 H =      +362.958 eV
 4678.  4678 a                    +13.225587 H =      +359.887 eV
 4677.  4677 a                    +13.201016 H =      +359.218 eV
 4676.  4676 a                    +13.187312 H =      +358.845 eV
 4675.  4675 a                    +13.164059 H =      +358.212 eV
 4674.  4674 a                    +13.141015 H =      +357.585 eV
 4673.  4673 a                    +13.136214 H =      +357.455 eV
 4672.  4672 a                    +13.125236 H =      +357.156 eV
 4671.  4671 a                    +13.099967 H =      +356.468 eV
 4670.  4670 a                    +13.086282 H =      +356.096 eV
 4669.  4669 a                    +13.069826 H =      +355.648 eV
 4668.  4668 a                    +13.044539 H =      +354.960 eV
 4667.  4667 a                    +13.021440 H =      +354.332 eV
 4666.  4666 a                    +12.957676 H =      +352.597 eV
 4665.  4665 a                    +12.904523 H =      +351.150 eV
 4664.  4664 a                    +12.897721 H =      +350.965 eV
 4663.  4663 a                    +12.875928 H =      +350.372 eV
 4662.  4662 a                    +12.818530 H =      +348.810 eV
 4661.  4661 a                    +12.806219 H =      +348.475 eV
 4660.  4660 a                    +12.800488 H =      +348.319 eV
 4659.  4659 a                    +12.787921 H =      +347.977 eV
 4658.  4658 a                    +12.763004 H =      +347.299 eV
 4657.  4657 a                    +12.752179 H =      +347.005 eV
 4656.  4656 a                    +12.744941 H =      +346.808 eV
 4655.  4655 a                    +12.739486 H =      +346.659 eV
 4654.  4654 a                    +12.724986 H =      +346.265 eV
 4653.  4653 a                    +12.714663 H =      +345.984 eV
 4652.  4652 a                    +12.704237 H =      +345.700 eV
 4651.  4651 a                    +12.691249 H =      +345.347 eV
 4650.  4650 a                    +12.668994 H =      +344.741 eV
 4649.  4649 a                    +12.625443 H =      +343.556 eV
 4648.  4648 a                    +12.601417 H =      +342.902 eV
 4647.  4647 a                    +12.563955 H =      +341.883 eV
 4646.  4646 a                    +12.550828 H =      +341.526 eV
 4645.  4645 a                    +12.544199 H =      +341.345 eV
 4644.  4644 a                    +12.530094 H =      +340.961 eV
 4643.  4643 a                    +12.511965 H =      +340.468 eV
 4642.  4642 a                    +12.503003 H =      +340.224 eV
 4641.  4641 a                    +12.474246 H =      +339.442 eV
 4640.  4640 a                    +12.464450 H =      +339.175 eV
 4639.  4639 a                    +12.455898 H =      +338.942 eV
 4638.  4638 a                    +12.387819 H =      +337.090 eV
 4637.  4637 a                    +12.386041 H =      +337.042 eV
 4636.  4636 a                    +12.350818 H =      +336.083 eV
 4635.  4635 a                    +12.321652 H =      +335.289 eV
 4634.  4634 a                    +12.317901 H =      +335.187 eV
 4633.  4633 a                    +12.294589 H =      +334.553 eV
 4632.  4632 a                    +12.116374 H =      +329.704 eV
 4631.  4631 a                    +12.109907 H =      +329.528 eV
 4630.  4630 a                    +12.091313 H =      +329.022 eV
 4629.  4629 a                    +11.721371 H =      +318.955 eV
 4628.  4628 a                    +11.697914 H =      +318.317 eV
 4627.  4627 a                    +11.576712 H =      +315.019 eV
 4626.  4626 a                    +11.558919 H =      +314.534 eV
 4625.  4625 a                    +11.545667 H =      +314.174 eV
 4624.  4624 a                    +11.515287 H =      +313.347 eV
 4623.  4623 a                    +11.497251 H =      +312.856 eV
 4622.  4622 a                    +11.475412 H =      +312.262 eV
 4621.  4621 a                    +11.448002 H =      +311.516 eV
 4620.  4620 a                    +11.395725 H =      +310.094 eV
 4619.  4619 a                    +11.166604 H =      +303.859 eV
 4618.  4618 a                    +11.093524 H =      +301.870 eV
 4617.  4617 a                    +11.066119 H =      +301.125 eV
 4616.  4616 a                    +10.974348 H =      +298.627 eV
 4615.  4615 a                    +10.915092 H =      +297.015 eV
 4614.  4614 a                     +9.875540 H =      +268.727 eV
 4613.  4613 a                     +9.845545 H =      +267.911 eV
 4612.  4612 a                     +9.749881 H =      +265.308 eV
 4611.  4611 a                     +9.642575 H =      +262.388 eV
 4610.  4610 a                     +9.310238 H =      +253.345 eV
 4609.  4609 a                     +8.954788 H =      +243.672 eV
 4608.  4608 a                     +8.921057 H =      +242.754 eV
 4607.  4607 a                     +8.835218 H =      +240.419 eV
 4606.  4606 a                     +8.716596 H =      +237.191 eV
 4605.  4605 a                     +8.346140 H =      +227.110 eV
 4604.  4604 a                     +8.324052 H =      +226.509 eV
 4603.  4603 a                     +8.103744 H =      +220.514 eV
 4602.  4602 a                     +7.971460 H =      +216.915 eV
 4601.  4601 a                     +7.495835 H =      +203.972 eV
 4600.  4600 a                     +7.418667 H =      +201.872 eV
 4599.  4599 a                     +7.413461 H =      +201.731 eV
 4598.  4598 a                     +7.408506 H =      +201.596 eV
 4597.  4597 a                     +7.402762 H =      +201.440 eV
 4596.  4596 a                     +7.397700 H =      +201.302 eV
 4595.  4595 a                     +7.365526 H =      +200.426 eV
 4594.  4594 a                     +7.348193 H =      +199.955 eV
 4593.  4593 a                     +7.346151 H =      +199.899 eV
 4592.  4592 a                     +7.336127 H =      +199.626 eV
 4591.  4591 a                     +7.334642 H =      +199.586 eV
 4590.  4590 a                     +7.328038 H =      +199.406 eV
 4589.  4589 a                     +7.310005 H =      +198.915 eV
 4588.  4588 a                     +7.297969 H =      +198.588 eV
 4587.  4587 a                     +7.290135 H =      +198.375 eV
 4586.  4586 a                     +7.287552 H =      +198.304 eV
 4585.  4585 a                     +7.274986 H =      +197.963 eV
 4584.  4584 a                     +7.265478 H =      +197.704 eV
 4583.  4583 a                     +7.248620 H =      +197.245 eV
 4582.  4582 a                     +7.238732 H =      +196.976 eV
 4581.  4581 a                     +7.214374 H =      +196.313 eV
 4580.  4580 a                     +7.210470 H =      +196.207 eV
 4579.  4579 a                     +7.174785 H =      +195.236 eV
 4578.  4578 a                     +7.166609 H =      +195.013 eV
 4577.  4577 a                     +7.116168 H =      +193.641 eV
 4576.  4576 a                     +7.109549 H =      +193.461 eV
 4575.  4575 a                     +7.100186 H =      +193.206 eV
 4574.  4574 a                     +7.099322 H =      +193.183 eV
 4573.  4573 a                     +7.084548 H =      +192.780 eV
 4572.  4572 a                     +7.074680 H =      +192.512 eV
 4571.  4571 a                     +7.070181 H =      +192.390 eV
 4570.  4570 a                     +7.057450 H =      +192.043 eV
 4569.  4569 a                     +7.054312 H =      +191.958 eV
 4568.  4568 a                     +7.048735 H =      +191.806 eV
 4567.  4567 a                     +7.034808 H =      +191.427 eV
 4566.  4566 a                     +7.023721 H =      +191.125 eV
 4565.  4565 a                     +7.014329 H =      +190.870 eV
 4564.  4564 a                     +7.009292 H =      +190.733 eV
 4563.  4563 a                     +6.987217 H =      +190.132 eV
 4562.  4562 a                     +6.934576 H =      +188.700 eV
 4561.  4561 a                     +6.917907 H =      +188.246 eV
 4560.  4560 a                     +6.913013 H =      +188.113 eV
 4559.  4559 a                     +6.886701 H =      +187.397 eV
 4558.  4558 a                     +6.868167 H =      +186.892 eV
 4557.  4557 a                     +6.859717 H =      +186.663 eV
 4556.  4556 a                     +6.857177 H =      +186.593 eV
 4555.  4555 a                     +6.855245 H =      +186.541 eV
 4554.  4554 a                     +6.854201 H =      +186.512 eV
 4553.  4553 a                     +6.842530 H =      +186.195 eV
 4552.  4552 a                     +6.815458 H =      +185.458 eV
 4551.  4551 a                     +6.814355 H =      +185.428 eV
 4550.  4550 a                     +6.803990 H =      +185.146 eV
 4549.  4549 a                     +6.794669 H =      +184.892 eV
 4548.  4548 a                     +6.787062 H =      +184.685 eV
 4547.  4547 a                     +6.775991 H =      +184.384 eV
 4546.  4546 a                     +6.772109 H =      +184.279 eV
 4545.  4545 a                     +6.768758 H =      +184.187 eV
 4544.  4544 a                     +6.766941 H =      +184.138 eV
 4543.  4543 a                     +6.765818 H =      +184.107 eV
 4542.  4542 a                     +6.763710 H =      +184.050 eV
 4541.  4541 a                     +6.759554 H =      +183.937 eV
 4540.  4540 a                     +6.758002 H =      +183.895 eV
 4539.  4539 a                     +6.754116 H =      +183.789 eV
 4538.  4538 a                     +6.752175 H =      +183.736 eV
 4537.  4537 a                     +6.750482 H =      +183.690 eV
 4536.  4536 a                     +6.744474 H =      +183.527 eV
 4535.  4535 a                     +6.732006 H =      +183.187 eV
 4534.  4534 a                     +6.721532 H =      +182.902 eV
 4533.  4533 a                     +6.704216 H =      +182.431 eV
 4532.  4532 a                     +6.695787 H =      +182.202 eV
 4531.  4531 a                     +6.685461 H =      +181.921 eV
 4530.  4530 a                     +6.679537 H =      +181.760 eV
 4529.  4529 a                     +6.672741 H =      +181.575 eV
 4528.  4528 a                     +6.666188 H =      +181.396 eV
 4527.  4527 a                     +6.642712 H =      +180.757 eV
 4526.  4526 a                     +6.633343 H =      +180.503 eV
 4525.  4525 a                     +6.617258 H =      +180.065 eV
 4524.  4524 a                     +6.612082 H =      +179.924 eV
 4523.  4523 a                     +6.581386 H =      +179.089 eV
 4522.  4522 a                     +6.576838 H =      +178.965 eV
 4521.  4521 a                     +6.561961 H =      +178.560 eV
 4520.  4520 a                     +6.556196 H =      +178.403 eV
 4519.  4519 a                     +6.543033 H =      +178.045 eV
 4518.  4518 a                     +6.527309 H =      +177.617 eV
 4517.  4517 a                     +6.522407 H =      +177.484 eV
 4516.  4516 a                     +6.504792 H =      +177.004 eV
 4515.  4515 a                     +6.475071 H =      +176.196 eV
 4514.  4514 a                     +6.470495 H =      +176.071 eV
 4513.  4513 a                     +6.458618 H =      +175.748 eV
 4512.  4512 a                     +6.450773 H =      +175.535 eV
 4511.  4511 a                     +6.422990 H =      +174.779 eV
 4510.  4510 a                     +6.407902 H =      +174.368 eV
 4509.  4509 a                     +6.404507 H =      +174.276 eV
 4508.  4508 a                     +6.400450 H =      +174.165 eV
 4507.  4507 a                     +6.399813 H =      +174.148 eV
 4506.  4506 a                     +6.393236 H =      +173.969 eV
 4505.  4505 a                     +6.389638 H =      +173.871 eV
 4504.  4504 a                     +6.384640 H =      +173.735 eV
 4503.  4503 a                     +6.374631 H =      +173.463 eV
 4502.  4502 a                     +6.368200 H =      +173.288 eV
 4501.  4501 a                     +6.366123 H =      +173.231 eV
 4500.  4500 a                     +6.361564 H =      +173.107 eV
 4499.  4499 a                     +6.353194 H =      +172.879 eV
 4498.  4498 a                     +6.352017 H =      +172.847 eV
 4497.  4497 a                     +6.346670 H =      +172.702 eV
 4496.  4496 a                     +6.343951 H =      +172.628 eV
 4495.  4495 a                     +6.338507 H =      +172.480 eV
 4494.  4494 a                     +6.336030 H =      +172.412 eV
 4493.  4493 a                     +6.332750 H =      +172.323 eV
 4492.  4492 a                     +6.327217 H =      +172.172 eV
 4491.  4491 a                     +6.321726 H =      +172.023 eV
 4490.  4490 a                     +6.316659 H =      +171.885 eV
 4489.  4489 a                     +6.304332 H =      +171.550 eV
 4488.  4488 a                     +6.297979 H =      +171.377 eV
 4487.  4487 a                     +6.294630 H =      +171.286 eV
 4486.  4486 a                     +6.290298 H =      +171.168 eV
 4485.  4485 a                     +6.288205 H =      +171.111 eV
 4484.  4484 a                     +6.280565 H =      +170.903 eV
 4483.  4483 a                     +6.272383 H =      +170.680 eV
 4482.  4482 a                     +6.266392 H =      +170.517 eV
 4481.  4481 a                     +6.261972 H =      +170.397 eV
 4480.  4480 a                     +6.248544 H =      +170.032 eV
 4479.  4479 a                     +6.246480 H =      +169.975 eV
 4478.  4478 a                     +6.242372 H =      +169.864 eV
 4477.  4477 a                     +6.235756 H =      +169.684 eV
 4476.  4476 a                     +6.233534 H =      +169.623 eV
 4475.  4475 a                     +6.231698 H =      +169.573 eV
 4474.  4474 a                     +6.228179 H =      +169.477 eV
 4473.  4473 a                     +6.222099 H =      +169.312 eV
 4472.  4472 a                     +6.221463 H =      +169.295 eV
 4471.  4471 a                     +6.217819 H =      +169.196 eV
 4470.  4470 a                     +6.214052 H =      +169.093 eV
 4469.  4469 a                     +6.211895 H =      +169.034 eV
 4468.  4468 a                     +6.211035 H =      +169.011 eV
 4467.  4467 a                     +6.207752 H =      +168.922 eV
 4466.  4466 a                     +6.207458 H =      +168.914 eV
 4465.  4465 a                     +6.201548 H =      +168.753 eV
 4464.  4464 a                     +6.197759 H =      +168.650 eV
 4463.  4463 a                     +6.194424 H =      +168.559 eV
 4462.  4462 a                     +6.192345 H =      +168.502 eV
 4461.  4461 a                     +6.183585 H =      +168.264 eV
 4460.  4460 a                     +6.180357 H =      +168.176 eV
 4459.  4459 a                     +6.177375 H =      +168.095 eV
 4458.  4458 a                     +6.175390 H =      +168.041 eV
 4457.  4457 a                     +6.174167 H =      +168.008 eV
 4456.  4456 a                     +6.171455 H =      +167.934 eV
 4455.  4455 a                     +6.167209 H =      +167.818 eV
 4454.  4454 a                     +6.161742 H =      +167.670 eV
 4453.  4453 a                     +6.159758 H =      +167.616 eV
 4452.  4452 a                     +6.157367 H =      +167.551 eV
 4451.  4451 a                     +6.152728 H =      +167.424 eV
 4450.  4450 a                     +6.149174 H =      +167.328 eV
 4449.  4449 a                     +6.144491 H =      +167.200 eV
 4448.  4448 a                     +6.138023 H =      +167.024 eV
 4447.  4447 a                     +6.131472 H =      +166.846 eV
 4446.  4446 a                     +6.127977 H =      +166.751 eV
 4445.  4445 a                     +6.126473 H =      +166.710 eV
 4444.  4444 a                     +6.123242 H =      +166.622 eV
 4443.  4443 a                     +6.119193 H =      +166.512 eV
 4442.  4442 a                     +6.111205 H =      +166.294 eV
 4441.  4441 a                     +6.106623 H =      +166.170 eV
 4440.  4440 a                     +6.103879 H =      +166.095 eV
 4439.  4439 a                     +6.102365 H =      +166.054 eV
 4438.  4438 a                     +6.099026 H =      +165.963 eV
 4437.  4437 a                     +6.093816 H =      +165.821 eV
 4436.  4436 a                     +6.093504 H =      +165.813 eV
 4435.  4435 a                     +6.091275 H =      +165.752 eV
 4434.  4434 a                     +6.090231 H =      +165.724 eV
 4433.  4433 a                     +6.088495 H =      +165.676 eV
 4432.  4432 a                     +6.081791 H =      +165.494 eV
 4431.  4431 a                     +6.077864 H =      +165.387 eV
 4430.  4430 a                     +6.072999 H =      +165.255 eV
 4429.  4429 a                     +6.065179 H =      +165.042 eV
 4428.  4428 a                     +6.060544 H =      +164.916 eV
 4427.  4427 a                     +6.056972 H =      +164.819 eV
 4426.  4426 a                     +6.055168 H =      +164.770 eV
 4425.  4425 a                     +6.051930 H =      +164.681 eV
 4424.  4424 a                     +6.048373 H =      +164.585 eV
 4423.  4423 a                     +6.042038 H =      +164.412 eV
 4422.  4422 a                     +6.033795 H =      +164.188 eV
 4421.  4421 a                     +6.032624 H =      +164.156 eV
 4420.  4420 a                     +6.029146 H =      +164.062 eV
 4419.  4419 a                     +6.026185 H =      +163.981 eV
 4418.  4418 a                     +6.025131 H =      +163.952 eV
 4417.  4417 a                     +6.020342 H =      +163.822 eV
 4416.  4416 a                     +6.011088 H =      +163.570 eV
 4415.  4415 a                     +6.005741 H =      +163.425 eV
 4414.  4414 a                     +5.995901 H =      +163.157 eV
 4413.  4413 a                     +5.992371 H =      +163.061 eV
 4412.  4412 a                     +5.991631 H =      +163.041 eV
 4411.  4411 a                     +5.986904 H =      +162.912 eV
 4410.  4410 a                     +5.983662 H =      +162.824 eV
 4409.  4409 a                     +5.981880 H =      +162.775 eV
 4408.  4408 a                     +5.977354 H =      +162.652 eV
 4407.  4407 a                     +5.957687 H =      +162.117 eV
 4406.  4406 a                     +5.943877 H =      +161.741 eV
 4405.  4405 a                     +5.940701 H =      +161.655 eV
 4404.  4404 a                     +5.924900 H =      +161.225 eV
 4403.  4403 a                     +5.923409 H =      +161.184 eV
 4402.  4402 a                     +5.919324 H =      +161.073 eV
 4401.  4401 a                     +5.915866 H =      +160.979 eV
 4400.  4400 a                     +5.914102 H =      +160.931 eV
 4399.  4399 a                     +5.913156 H =      +160.905 eV
 4398.  4398 a                     +5.909136 H =      +160.796 eV
 4397.  4397 a                     +5.905919 H =      +160.708 eV
 4396.  4396 a                     +5.900122 H =      +160.551 eV
 4395.  4395 a                     +5.896373 H =      +160.449 eV
 4394.  4394 a                     +5.882774 H =      +160.079 eV
 4393.  4393 a                     +5.863221 H =      +159.546 eV
 4392.  4392 a                     +5.857880 H =      +159.401 eV
 4391.  4391 a                     +5.853506 H =      +159.282 eV
 4390.  4390 a                     +5.849356 H =      +159.169 eV
 4389.  4389 a                     +5.844595 H =      +159.040 eV
 4388.  4388 a                     +5.842474 H =      +158.982 eV
 4387.  4387 a                     +5.838295 H =      +158.868 eV
 4386.  4386 a                     +5.831475 H =      +158.683 eV
 4385.  4385 a                     +5.825340 H =      +158.516 eV
 4384.  4384 a                     +5.822414 H =      +158.436 eV
 4383.  4383 a                     +5.819097 H =      +158.346 eV
 4382.  4382 a                     +5.814984 H =      +158.234 eV
 4381.  4381 a                     +5.811950 H =      +158.151 eV
 4380.  4380 a                     +5.809060 H =      +158.073 eV
 4379.  4379 a                     +5.807944 H =      +158.042 eV
 4378.  4378 a                     +5.802558 H =      +157.896 eV
 4377.  4377 a                     +5.798863 H =      +157.795 eV
 4376.  4376 a                     +5.795538 H =      +157.705 eV
 4375.  4375 a                     +5.792312 H =      +157.617 eV
 4374.  4374 a                     +5.788196 H =      +157.505 eV
 4373.  4373 a                     +5.786013 H =      +157.446 eV
 4372.  4372 a                     +5.783297 H =      +157.372 eV
 4371.  4371 a                     +5.781810 H =      +157.331 eV
 4370.  4370 a                     +5.777124 H =      +157.204 eV
 4369.  4369 a                     +5.775034 H =      +157.147 eV
 4368.  4368 a                     +5.773179 H =      +157.096 eV
 4367.  4367 a                     +5.770072 H =      +157.012 eV
 4366.  4366 a                     +5.769643 H =      +157.000 eV
 4365.  4365 a                     +5.763410 H =      +156.830 eV
 4364.  4364 a                     +5.757804 H =      +156.678 eV
 4363.  4363 a                     +5.753981 H =      +156.574 eV
 4362.  4362 a                     +5.751756 H =      +156.513 eV
 4361.  4361 a                     +5.745194 H =      +156.335 eV
 4360.  4360 a                     +5.742853 H =      +156.271 eV
 4359.  4359 a                     +5.740705 H =      +156.213 eV
 4358.  4358 a                     +5.737087 H =      +156.114 eV
 4357.  4357 a                     +5.736809 H =      +156.107 eV
 4356.  4356 a                     +5.734491 H =      +156.044 eV
 4355.  4355 a                     +5.731237 H =      +155.955 eV
 4354.  4354 a                     +5.725435 H =      +155.797 eV
 4353.  4353 a                     +5.724863 H =      +155.782 eV
 4352.  4352 a                     +5.721079 H =      +155.679 eV
 4351.  4351 a                     +5.717396 H =      +155.578 eV
 4350.  4350 a                     +5.713274 H =      +155.466 eV
 4349.  4349 a                     +5.711217 H =      +155.410 eV
 4348.  4348 a                     +5.708879 H =      +155.347 eV
 4347.  4347 a                     +5.706300 H =      +155.276 eV
 4346.  4346 a                     +5.704560 H =      +155.229 eV
 4345.  4345 a                     +5.702726 H =      +155.179 eV
 4344.  4344 a                     +5.699296 H =      +155.086 eV
 4343.  4343 a                     +5.697140 H =      +155.027 eV
 4342.  4342 a                     +5.695970 H =      +154.995 eV
 4341.  4341 a                     +5.690028 H =      +154.834 eV
 4340.  4340 a                     +5.688830 H =      +154.801 eV
 4339.  4339 a                     +5.684641 H =      +154.687 eV
 4338.  4338 a                     +5.683586 H =      +154.658 eV
 4337.  4337 a                     +5.681989 H =      +154.615 eV
 4336.  4336 a                     +5.679112 H =      +154.537 eV
 4335.  4335 a                     +5.677055 H =      +154.481 eV
 4334.  4334 a                     +5.674279 H =      +154.405 eV
 4333.  4333 a                     +5.671488 H =      +154.329 eV
 4332.  4332 a                     +5.668528 H =      +154.249 eV
 4331.  4331 a                     +5.667405 H =      +154.218 eV
 4330.  4330 a                     +5.665819 H =      +154.175 eV
 4329.  4329 a                     +5.662080 H =      +154.073 eV
 4328.  4328 a                     +5.659288 H =      +153.997 eV
 4327.  4327 a                     +5.655409 H =      +153.892 eV
 4326.  4326 a                     +5.652836 H =      +153.822 eV
 4325.  4325 a                     +5.648492 H =      +153.703 eV
 4324.  4324 a                     +5.648152 H =      +153.694 eV
 4323.  4323 a                     +5.646445 H =      +153.648 eV
 4322.  4322 a                     +5.643482 H =      +153.567 eV
 4321.  4321 a                     +5.643146 H =      +153.558 eV
 4320.  4320 a                     +5.639970 H =      +153.471 eV
 4319.  4319 a                     +5.638071 H =      +153.420 eV
 4318.  4318 a                     +5.634662 H =      +153.327 eV
 4317.  4317 a                     +5.634119 H =      +153.312 eV
 4316.  4316 a                     +5.632866 H =      +153.278 eV
 4315.  4315 a                     +5.631739 H =      +153.248 eV
 4314.  4314 a                     +5.631554 H =      +153.242 eV
 4313.  4313 a                     +5.628899 H =      +153.170 eV
 4312.  4312 a                     +5.627350 H =      +153.128 eV
 4311.  4311 a                     +5.626642 H =      +153.109 eV
 4310.  4310 a                     +5.621738 H =      +152.975 eV
 4309.  4309 a                     +5.621026 H =      +152.956 eV
 4308.  4308 a                     +5.619626 H =      +152.918 eV
 4307.  4307 a                     +5.616357 H =      +152.829 eV
 4306.  4306 a                     +5.611645 H =      +152.701 eV
 4305.  4305 a                     +5.609661 H =      +152.647 eV
 4304.  4304 a                     +5.607606 H =      +152.591 eV
 4303.  4303 a                     +5.606173 H =      +152.552 eV
 4302.  4302 a                     +5.604211 H =      +152.498 eV
 4301.  4301 a                     +5.599886 H =      +152.381 eV
 4300.  4300 a                     +5.597729 H =      +152.322 eV
 4299.  4299 a                     +5.594989 H =      +152.247 eV
 4298.  4298 a                     +5.593084 H =      +152.196 eV
 4297.  4297 a                     +5.591450 H =      +152.151 eV
 4296.  4296 a                     +5.590831 H =      +152.134 eV
 4295.  4295 a                     +5.586544 H =      +152.018 eV
 4294.  4294 a                     +5.583553 H =      +151.936 eV
 4293.  4293 a                     +5.581493 H =      +151.880 eV
 4292.  4292 a                     +5.580017 H =      +151.840 eV
 4291.  4291 a                     +5.577641 H =      +151.775 eV
 4290.  4290 a                     +5.574321 H =      +151.685 eV
 4289.  4289 a                     +5.572008 H =      +151.622 eV
 4288.  4288 a                     +5.571705 H =      +151.614 eV
 4287.  4287 a                     +5.568869 H =      +151.537 eV
 4286.  4286 a                     +5.568176 H =      +151.518 eV
 4285.  4285 a                     +5.566395 H =      +151.469 eV
 4284.  4284 a                     +5.563448 H =      +151.389 eV
 4283.  4283 a                     +5.561646 H =      +151.340 eV
 4282.  4282 a                     +5.554470 H =      +151.145 eV
 4281.  4281 a                     +5.551281 H =      +151.058 eV
 4280.  4280 a                     +5.549645 H =      +151.014 eV
 4279.  4279 a                     +5.547139 H =      +150.945 eV
 4278.  4278 a                     +5.546749 H =      +150.935 eV
 4277.  4277 a                     +5.544438 H =      +150.872 eV
 4276.  4276 a                     +5.540278 H =      +150.759 eV
 4275.  4275 a                     +5.540132 H =      +150.755 eV
 4274.  4274 a                     +5.536443 H =      +150.654 eV
 4273.  4273 a                     +5.534124 H =      +150.591 eV
 4272.  4272 a                     +5.531568 H =      +150.522 eV
 4271.  4271 a                     +5.529412 H =      +150.463 eV
 4270.  4270 a                     +5.523941 H =      +150.314 eV
 4269.  4269 a                     +5.523190 H =      +150.294 eV
 4268.  4268 a                     +5.517130 H =      +150.129 eV
 4267.  4267 a                     +5.514651 H =      +150.061 eV
 4266.  4266 a                     +5.512905 H =      +150.014 eV
 4265.  4265 a                     +5.508755 H =      +149.901 eV
 4264.  4264 a                     +5.504432 H =      +149.783 eV
 4263.  4263 a                     +5.502335 H =      +149.726 eV
 4262.  4262 a                     +5.497901 H =      +149.606 eV
 4261.  4261 a                     +5.497234 H =      +149.587 eV
 4260.  4260 a                     +5.494513 H =      +149.513 eV
 4259.  4259 a                     +5.492217 H =      +149.451 eV
 4258.  4258 a                     +5.490092 H =      +149.393 eV
 4257.  4257 a                     +5.487442 H =      +149.321 eV
 4256.  4256 a                     +5.486174 H =      +149.286 eV
 4255.  4255 a                     +5.480983 H =      +149.145 eV
 4254.  4254 a                     +5.480079 H =      +149.121 eV
 4253.  4253 a                     +5.479034 H =      +149.092 eV
 4252.  4252 a                     +5.477313 H =      +149.045 eV
 4251.  4251 a                     +5.474007 H =      +148.955 eV
 4250.  4250 a                     +5.472749 H =      +148.921 eV
 4249.  4249 a                     +5.470389 H =      +148.857 eV
 4248.  4248 a                     +5.468033 H =      +148.793 eV
 4247.  4247 a                     +5.466102 H =      +148.740 eV
 4246.  4246 a                     +5.464477 H =      +148.696 eV
 4245.  4245 a                     +5.463228 H =      +148.662 eV
 4244.  4244 a                     +5.459557 H =      +148.562 eV
 4243.  4243 a                     +5.459279 H =      +148.555 eV
 4242.  4242 a                     +5.457811 H =      +148.515 eV
 4241.  4241 a                     +5.455970 H =      +148.465 eV
 4240.  4240 a                     +5.453564 H =      +148.399 eV
 4239.  4239 a                     +5.452953 H =      +148.382 eV
 4238.  4238 a                     +5.450823 H =      +148.325 eV
 4237.  4237 a                     +5.448898 H =      +148.272 eV
